_url,birth_year,weight,height,nationality,BMI
jan-maas,1996.0,69.0,189.0,Netherlands,19.31636852271773
urs-graf,1974.0,78.81048533680666,183.1155957124384,Switzerland,23.50354297488984
anthony-perez,1991.0,70.0,190.0,France,19.390581717451525
morten-hulgaard,1998.0,73.0,181.0,Denmark,22.28259210646805
manuele-tarozzi,1998.0,68.04810117180848,181.64029020945736,Italy,20.62488980389623
peter-van-de-knoop,1957.0,70.62838015291639,189.41278401677368,Netherlands,19.686144610288668
claude-criquielion,1957.0,76.18098365211284,184.2954098734641,Belgium,22.42939393511442
cees-jeurissen,1976.0,64.86656519673225,175.91936615240536,Netherlands,20.960111988117227
jean-pierre-monsere,1948.0,66.0,178.0,Belgium,20.83070319404116
andre-peirsman,1948.0,70.54805230142026,185.24648974648164,Belgium,20.55819843567956
fiorenzo-favero,1955.0,68.00126962288516,181.43015013710487,Italy,20.65846750643169
jose-del-ramo,1960.0,64.99176541780444,175.44980262281155,Spain,21.113127298200784
oleg-iarochenko,1962.0,61.56393608390746,177.6851185610608,Russia,19.49953548579659
thomas-durst,1967.0,70.4889034928946,187.94893405267973,Germany,19.954507846628587
juan-carlos-martin,1967.0,66.04361130449294,173.3091711027841,Spain,21.988100962847724
jenthe-biermans,1995.0,78.0,184.0,Belgium,23.03875236294896
juan-martin-zapatero-marcos,1964.0,69.50330817174262,177.76939599892023,Spain,21.993354915995653
giovanni-battaglin,1951.0,68.27374606841762,176.49336253460245,Italy,21.91780091904498
david-canada,1975.0,65.0,176.0,Spain,20.983987603305785
orluis-aular,1996.0,65.0,176.0,Venezuela,20.983987603305785
joab-schneiter,1998.0,73.93293560248856,182.4286079042168,Switzerland,22.215293870635392
pierre-henri-lecuisinier,1993.0,65.0,176.0,France,20.983987603305785
julien-laidoun,1980.0,74.22362872585718,187.37905865239583,France,21.139761201898125
jean-louis-danguillaume,1949.0,74.18214132460011,187.4796350249549,France,21.105282352316305
ander-okamika,1993.0,70.0,190.0,Spain,19.390581717451525
hans-langerijs,1953.0,68.1411448374228,181.58102881091853,Netherlands,20.66657369425257
jose-antonio-borja,1964.0,73.72306657230976,181.9111997430805,Spain,22.278426584002364
jerome-simon,1960.0,70.56274273291164,186.2482512289202,France,20.34187802903838
alexander-gontsjenkov,1970.0,74.0,183.0,Ukraine,22.096807907073963
ezio-serpelloni,1959.0,72.1304997070873,179.8934620655351,Italy,22.28887666673199
mario-mantovan,1965.0,68.39342502624999,182.058301583878,Italy,20.63447288829558
simon-vitzthum,1995.0,70.0,190.0,Switzerland,19.390581717451525
rodolfo-massi,1965.0,61.426211289191926,174.04196696927454,Italy,20.278963962849897
ludovic-auger,1971.0,78.0,184.0,France,23.03875236294896
julian-barcina,1966.0,61.66282483780687,177.23936770362656,Spain,19.62921953647804
jesus-hernandez-ubeda,1959.0,66.62381491286386,171.0026744186875,Spain,22.783670526120627
pawel-cieslik,1986.0,65.0,176.0,Poland,20.983987603305785
massimo-graziato,1988.0,73.0,181.0,Italy,22.28259210646805
gianni-gobbini,1976.0,64.94363817536261,176.41698745082556,Italy,20.866797958707277
fernando-cabrero,1955.0,61.72574290311029,176.01462706484182,Spain,19.92364551137448
alessio-nieri,2001.0,66.75371315855658,172.48559533889272,Italy,22.43725709066632
jurgen-roelandts,1985.0,78.0,184.0,Belgium,23.03875236294896
jaco-venter,1987.0,70.0,190.0,South Africa,19.390581717451525
alessandro-santaromita,1999.0,71.53119971927045,179.48503325750892,Italy,22.20439933895808
glenn-d-hollander,1974.0,74.0,183.0,Belgium,22.096807907073963
jose-florencio,1943.0,71.52769339377058,179.5278864726086,Spain,22.19271234793301
daniele-contrini,1974.0,65.13825188094837,175.89006927178585,Italy,21.05491339153837
krists-neilands,1994.0,69.0,189.0,Latvia,19.31636852271773
laurent-gervais,1997.0,72.0,180.0,Canada,22.22222222222222
henry-rinklin,1957.0,62.1200668607457,173.50091433073212,Germany,20.63613588041875
jerome-delbove,1974.0,74.25209062636038,189.0288323201956,France,20.78033683423929
fabian-fuchs,1961.0,61.46982407977794,177.92266585582388,Switzerland,19.41777283502391
jorge-martin-montenegro,1983.0,77.12890566642838,184.49853604018887,Spain,22.6585085822982
juan-mauricio-soler-hernandez,1983.0,70.0,190.0,Colombia,19.390581717451525
emile-cambre,1948.0,66.7800727474398,171.04809999332963,Belgium,22.82497860043811
erik-pettersson,1944.0,67.0,180.0,Sweden,20.679012345679013
philippe-deleye,1962.0,61.43213836085796,177.82522081116903,Belgium,19.42714221591292
antoine-guttierrez,1953.0,73.72423454478184,183.32889414871624,France,21.93554527512708
rick-pluimers,2000.0,67.0,180.0,Netherlands,20.679012345679013
bruno-wojtinek,1963.0,73.95546849760044,186.4334659444777,France,21.277595359183653
walter-riccomi,1950.0,66.0,169.0,Italy,23.1084345786212
frederic-bessy,1972.0,65.0,176.0,France,20.983987603305785
rafael-casero-moreno,1976.0,74.0,183.0,Spain,22.096807907073963
paolo-ciavatta,1984.0,66.75973688478376,172.59555376063986,Italy,22.410699333736765
francesco-casagrande,1970.0,64.0,171.0,Italy,21.887076365377386
andrea-zordan,1991.0,65.0,176.0,Italy,20.983987603305785
bruno-leali,1958.0,65.20103394449143,172.40130423849348,Italy,21.936805707153503
roberto-cordoba,1962.0,69.86791852430773,184.1213916099591,Spain,20.609587893240622
jaroslav-poslusny,1948.0,74.09918891485869,188.2161160148021,Czech Republic,20.91702136021443
flavio-vanzella,1964.0,78.0,184.0,Italy,23.03875236294896
brandon-mcnulty,1998.0,69.0,183.0,United States,20.603780345785182
ben-healy,2000.0,65.0,175.0,Ireland,21.22448979591837
romain-matheou,1988.0,73.0,181.0,France,22.28259210646805
denis-bertolini,1977.0,74.44954708227343,188.71739973974863,Italy,20.904422393654617
claude-vincendeau,1954.0,66.5674170953812,179.1725727651311,France,20.73569739585788
thierry-laurent,1966.0,65.06442830533317,186.2803895583673,France,18.750348462733832
ruben-zepuntke,1993.0,76.0,184.0,Germany,22.448015122873343
rafael-antonio-acevedo,1957.0,71.36216927507917,179.42901114166696,Colombia,22.16576455990209
christophe-faudot,1968.0,71.2521935298526,179.2473420000458,France,22.176489034782744
eddy-reyniers,1946.0,72.86712753140809,180.5887983741572,Belgium,22.343439754672534
pedro-horrillo,1974.0,76.0,184.0,Spain,22.448015122873343
diego-lopez-fuentes,1997.0,70.0,190.0,Spain,19.390581717451525
rafael-serrano-fernandez,1987.0,61.09239437844377,178.6123941394029,Spain,19.14978767167171
mauro-zinetti,1975.0,70.55702190830073,188.1224718552584,Italy,19.936957750928112
roberto-petito,1971.0,78.0,184.0,Italy,23.03875236294896
eddy-serri,1974.0,73.7818785898773,183.26293670836628,Italy,21.968501060357116
bernhard-eisel,1981.0,74.0,183.0,Austria,22.096807907073963
pedro-munoz-machin,1958.0,71.26306509622037,179.3383605284683,Spain,22.157364770555063
cees-zoontjes,1944.0,66.64382133280147,172.37880555813356,Netherlands,22.428083134242986
cesar-martingil,1995.0,67.0,172.0,Portugal,22.647376960519203
jos-spruyt,1943.0,65.74652800026608,172.98744191889196,Belgium,21.970688672880044
dirk-clarysse,1964.0,61.42734626787309,173.87983228526954,Belgium,20.3171753316575
cameron-wurf,1983.0,71.0,171.0,Australia,24.28097534284053
alberto-saronni,1961.0,70.68212996300774,189.30716773163525,Italy,19.723115242769858
nils-brun,2000.0,64.0,175.48099435774043,Switzerland,20.78355335331469
russell-downing,1978.0,64.0,171.0,Great Britain,21.887076365377386
marc-sohet,1947.0,71.69187066427469,179.62548942830958,Belgium,22.219484743045637
firmino-bernardino,1950.0,71.77816191134401,179.77376735637444,Portugal,22.2095466421048
silvio-martinello,1963.0,71.0,179.0,Italy,22.15910864205237
adam-toupalik,1996.0,65.0,175.0,Czech Republic,21.22448979591837
johannes-staune-mittet,2002.0,68.36780552229716,182.0,Norway,20.63996060931565
giovanni-aleotti,1999.0,67.0,180.0,Italy,20.679012345679013
ben-koken,1950.0,65.25451193614074,176.12218494438315,Netherlands,21.03693264943028
patrick-friou,1955.0,64.49924714420465,171.684700812246,France,21.8822237000864
diego-andres-camargo,1998.0,65.0,176.0,Colombia,20.983987603305785
jonas-iversby-hvideberg,1999.0,70.4729015904078,185.0,Norway,20.591059631967216
federico-vitali,1982.0,76.59264933944526,184.31416813267663,Italy,22.54600770320644
jacques-hanegraaf,1960.0,70.1865862792738,184.7249143554108,Netherlands,20.56852609627245
loic-le-flohic,1959.0,76.51489912720416,184.3096708424305,France,22.52422012686449
danilo-wyss,1985.0,65.0,176.0,Switzerland,20.983987603305785
anatoliy-pakhtusov,1985.0,73.15441681431989,181.01735799210604,Ukraine,22.325444199153704
pedro-delgado,1960.0,64.0,171.0,Spain,21.887076365377386
jasha-sutterlin,1992.0,78.0,184.0,Germany,23.03875236294896
ian-boswell,1991.0,70.0,190.0,United States,19.390581717451525
dean-harvey,2003.0,71.69089900209667,179.69893960233355,Ireland,22.20102356210895
robert-gesink,1986.0,70.0,190.0,Netherlands,19.390581717451525
julien-simon,1985.0,65.0,176.0,France,20.983987603305785
enekoitz-azparren-irurzun,2002.0,66.95348175315914,180.0,Spain,20.664654862086152
manuel-sanroma,1977.0,77.36691189770269,184.8290451437754,Spain,22.647216016825936
alessandro-fedeli,1996.0,65.0,176.0,Italy,20.983987603305785
hrvoje-miholjevic,1979.0,73.81383816312257,185.5963443078695,Croatia,21.42885434902585
guillermo-garcia-janeiro,1999.0,65.0,175.0,Spain,21.22448979591837
michele-mara,1966.0,68.84859203799621,177.13167560219372,Italy,21.943333388757168
iban-mayo,1977.0,65.0,176.0,Spain,20.983987603305785
philippe-louviot,1964.0,61.26724859718291,173.5325242032198,France,20.345417639252688
martijn-keizer,1988.0,72.0,193.0,Netherlands,19.329377969878387
regis-roqueta,1956.0,74.34969618540502,188.93452702546736,France,20.828430080162693
eddy-peelman,1947.0,66.40539632550401,173.95110925883515,Belgium,21.945676246842744
jacques-decrion,1961.0,65.68302497480194,177.5371846002354,France,20.838885508006637
herve-inaudi,1952.0,72.56791947828343,180.40587686890663,France,22.29683962858472
iwan-schmid,1947.0,64.0,171.0,Switzerland,21.887076365377386
bert-oosterbosch,1957.0,71.48957972052065,179.48290203613067,Netherlands,22.19200685925106
paolo-colonna,1987.0,65.0,176.0,Italy,20.983987603305785
pedro-luis-diaz-zabala,1962.0,72.95929050911508,180.6950531009305,Spain,22.345397054053574
gage-hecht,1998.0,72.0,180.0,United States,22.22222222222222
jose-serste,1943.0,70.2031006421488,188.87516932456504,Belgium,19.679160172637527
hector-manuel-castano,1965.0,70.57213095928596,185.6679878385133,Colombia,20.47194800005584
camillo-passera,1965.0,78.45677937768554,183.5015652936568,Italy,23.29973223918799
jerome-pineau,1980.0,65.0,176.0,France,20.983987603305785
reynel-montoya,1959.0,73.85827161155171,183.0687675571561,Colombia,22.037921141093644
patrick-hendrikx,1964.0,74.05417844532538,188.75143674707243,Belgium,20.7859096906844
nigel-ellsay,1994.0,73.68932547072896,183.0,Canada,22.004038780115547
jurgen-van-loocke,1980.0,61.46478456276898,177.4650354769809,Belgium,19.516447302667785
jean-philippe-vandenbrande,1955.0,61.50434427978681,175.887333388363,Belgium,19.88092849836209
peter-wuyts,1973.0,61.874677743263234,173.47621969483615,Belgium,20.56047059590596
frantisek-rabon,1983.0,74.0,183.0,Czech Republic,22.096807907073963
kurt-asle-arvesen,1975.0,74.0,183.0,Norway,22.096807907073963
edoardo-girardi,1985.0,61.50937041096898,175.42376541623625,Italy,19.987773721629903
ignacio-fandos,1957.0,64.8484154706075,175.7069215070007,Spain,21.00494890408974
mario-manzoni,1969.0,61.538481466788525,174.45424572222564,Italy,20.22011813028284
slawomir-kohut,1977.0,65.0,176.0,Poland,20.983987603305785
stefan-van-dijk-1,1976.0,74.0,183.0,Netherlands,22.096807907073963
leandro-fioroni,1974.0,61.23352005638417,178.05798674396294,Italy,19.313736798671663
antonio-ferretti,1957.0,72.46457626749351,180.18192061857172,Switzerland,22.32046989654183
guillaume-auger,1976.0,78.0,184.0,France,23.03875236294896
julian-cuevas,1948.0,63.09386622671471,174.5229269766419,Spain,20.714867728729583
stefano-faustini,1968.0,61.46294038730067,173.32407186250845,Italy,20.459525936415705
dariusz-kajzer,1961.0,74.23678459818032,182.7676105900858,Germany,22.22392101306004
fabio-silvestre,1990.0,78.0,184.0,Portugal,23.03875236294896
rudy-busselen,1955.0,68.76108694137628,188.6348240836752,Belgium,19.324087281542106
john-mullan,1952.0,65.23810013682241,176.08352896818607,New Zealand,21.04087701953635
felipe-yanez,1953.0,61.26055973577535,174.04649637942404,Spain,20.223223903691014
juan-sebastian-molano,1994.0,72.0,180.0,Colombia,22.22222222222222
rene-dillen,1951.0,70.20827603656018,184.65919803428207,Belgium,20.58952932767664
giacomo-bazzan,1950.0,65.96340322136628,173.26976632662723,Italy,21.971387039389377
rene-leuenberger,1951.0,74.34430827729383,188.6037880246369,Switzerland,20.90002967712566
eric-de-vlaeminck,1945.0,73.79394314481657,183.56547314501648,Belgium,21.899728019267272
tranquillo-andreetta,1955.0,71.14648689755589,179.1463743342759,Italy,22.16855644489268
jean-raymond-toso,1952.0,70.94970975170408,178.95150415925855,France,22.155416401365123
marc-meernhout,1952.0,67.46548592186097,175.4997987482358,Belgium,21.904250988878207
dirk-baldinger,1971.0,73.63986255517125,181.75660611531868,Germany,22.291154394751786
jens-reynders,1998.0,76.0,184.0,Belgium,22.448015122873343
yoann-offredo,1986.0,69.0,189.0,France,19.31636852271773
jan-erik-ostergaard,1961.0,66.64652973578288,179.4700828622929,Denmark,20.691568547968046
franky-van-oyen,1962.0,62.683061818615,174.15933593983277,Belgium,20.666012211922293
daniele-antinori,1959.0,61.59512066812576,174.53222662507588,Italy,20.22064719332846
jacky-hardy,1953.0,72.47649142201514,180.39910019448828,France,22.270420999973
fabio-mazzucco,1999.0,69.0,183.0,Italy,20.603780345785182
patrick-facchini,1988.0,70.0,190.0,Italy,19.390581717451525
markus-eberli,1963.0,64.72191632162365,174.43800253443183,Switzerland,21.270081679932836
alessandro-guerra,1974.0,76.74725789352506,184.5026111578948,Italy,22.54539422903733
